frame,queue_count,red_light_violations,rash_driving,total_vehicles
561,13,137,184,411
562,15,137,185,413
563,16,137,185,414
564,17,137,187,417
565,15,138,187,417
566,15,138,188,417
567,13,138,188,417
568,11,138,188,418
569,12,138,188,419
570,12,140,188,420
571,11,140,188,421
572,11,140,188,423
573,11,140,189,423
574,11,140,189,424
575,11,140,189,425
576,11,140,190,427
577,9,140,191,428
578,8,141,192,428
579,8,142,192,428
580,10,142,192,430
581,10,144,192,431
582,10,144,192,431
583,10,144,193,432
584,10,144,193,434
585,11,144,193,434
586,11,144,194,434
587,11,144,194,434
588,11,144,194,434
589,11,144,194,435
590,11,144,195,436
591,10,144,195,437
592,9,144,195,437
593,8,144,195,438
594,7,144,195,438
595,8,144,195,439
596,8,144,196,440
597,8,145,196,441
598,8,145,197,441
599,8,145,197,442
600,8,145,197,442
601,9,145,199,442
602,9,146,200,443
603,10,146,201,444
604,11,147,201,445
605,10,147,202,448
606,10,147,202,449
607,11,147,202,450
608,11,147,202,450
609,11,147,202,451
610,11,147,202,452
611,11,147,202,455
612,12,148,202,455
613,11,149,202,455
614,12,149,202,457
615,11,149,202,457
616,12,151,202,457
617,13,151,202,459
618,14,151,202,460
619,14,151,203,460
620,14,151,203,460
621,15,151,203,462
622,15,151,203,463
623,15,151,203,463
624,16,151,203,468
625,16,152,204,468
626,16,152,205,468
627,16,153,205,469
628,17,153,205,471
629,17,153,205,471
630,17,153,206,471
631,15,153,206,471
632,15,153,206,471
633,16,153,206,472
634,16,153,206,472
635,16,153,206,474
636,16,153,207,475
637,16,154,208,475
638,16,156,209,475
639,14,157,210,476
640,14,158,210,479
641,12,158,211,480
642,12,158,212,481
643,12,159,213,482
644,12,159,213,482
645,13,159,214,483
646,12,159,215,483
647,11,159,215,484
648,12,159,216,485
649,14,159,216,487
650,14,160,216,488
651,14,160,216,488
652,15,160,216,488
653,15,160,216,490
654,15,160,216,491
655,15,160,216,492
656,14,160,216,494
657,13,160,217,495
658,13,160,218,497
659,12,160,219,498
660,12,160,219,500
661,12,160,219,500
662,12,161,219,501
663,12,162,219,502
664,13,162,219,503
665,13,162,219,503
666,13,162,219,504
667,13,162,220,505
668,13,164,220,505
669,13,164,221,505
670,13,167,221,507
671,13,167,222,508
672,12,167,222,509
673,12,169,222,509
674,11,169,222,510
675,11,169,222,510
676,11,170,222,510
677,14,170,222,511
678,14,171,222,513
679,14,172,222,515
680,13,172,223,515
681,13,172,223,515
682,13,172,224,515
683,13,172,224,516
684,15,172,224,516
685,15,172,224,517
686,17,172,224,518
687,17,172,225,519
688,17,174,226,520
689,17,174,226,520
690,17,175,226,521
691,16,175,228,522
692,17,175,230,524
693,17,176,230,525
694,17,177,230,526
695,18,177,231,526
696,18,177,231,529
697,17,178,231,529
698,18,178,231,531
699,19,180,233,534
700,19,180,236,534
701,18,181,236,534
702,18,183,237,534
703,18,185,238,535
704,17,185,238,535
705,18,185,240,535
706,19,185,240,535
707,20,186,242,537
708,19,186,244,539
709,19,186,246,541
710,19,187,246,541
711,22,189,246,544
712,23,189,248,545
713,23,189,250,545
714,22,190,251,546
715,20,191,251,547
716,18,191,252,549
717,18,191,252,549
718,19,191,252,550
719,18,191,252,550
720,17,191,253,551
721,15,192,255,551
722,13,193,256,551
723,13,193,256,551
724,14,193,256,553
725,12,193,256,553
726,12,193,257,555
727,12,193,257,555
728,13,193,257,556
729,13,193,257,557
730,13,193,257,557
731,13,194,257,557
732,12,194,259,558
733,13,194,259,559
734,12,194,259,560
735,12,194,259,563
736,12,194,259,564
737,11,194,259,564
738,11,195,259,565
739,9,195,259,565
740,8,195,259,566
741,8,195,259,566
742,8,195,260,566
743,8,195,260,567
744,8,195,260,568
745,8,196,260,568
746,9,196,260,571
747,10,196,261,572
748,10,196,261,572
749,11,197,262,574
